Turn,Capture,None,Five or More,Open one,Half open one,Open two,Half open two,Open three,Half open three,open four,four,Capture,None,Five or More,Open one,Half open one,Open two,Half open two,Open three,Half open three,open four,four,Inital score,Score
1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,-80
3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,-80,0
5,0,0,0,11,1,0,0,0,0,0,0,0,0,0,6,0,2,1,0,0,0,0,-195,77
7,2,0,0,14,0,0,1,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,77,0
9,2,0,0,14,1,1,0,0,1,0,0,0,0,0,7,2,0,0,1,0,0,0,-293,-56
11,2,0,0,16,3,1,0,0,1,0,0,0,0,0,4,3,3,0,0,1,0,0,-38,724
13,2,0,0,15,5,1,0,1,1,0,0,0,0,0,6,4,2,1,0,0,0,1,487,2147483647
15,2,0,0,18,5,1,0,1,0,0,0,0,0,0,9,5,2,1,0,0,0,1,-18,2147483647
17,2,0,0,21,5,1,0,0,0,1,0,0,0,1,12,5,2,1,0,0,0,0,-90018,2147483647
1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,-80
3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,-35
5,0,0,0,9,0,0,0,0,1,0,0,0,0,0,11,1,0,0,0,0,0,0,475,-290
7,0,0,0,12,1,0,0,0,1,0,0,0,0,0,12,1,0,0,0,1,0,0,0,-370
9,0,0,0,16,1,0,0,0,1,0,0,0,0,0,15,1,0,0,0,0,0,1,-490,-185
11,0,0,0,19,2,0,0,0,0,0,0,0,0,0,13,1,2,1,0,0,0,0,-185,440
13,0,0,0,14,8,0,0,0,1,0,0,0,0,0,11,6,2,1,0,0,0,0,290,427
15,2,0,0,17,9,0,0,0,1,0,0,0,0,0,8,9,2,1,0,0,0,0,382,612
17,4,0,0,18,8,1,1,0,0,0,0,0,0,0,8,7,1,0,0,0,0,0,319,1191
19,4,0,0,14,11,2,1,0,1,0,0,0,0,0,7,10,1,1,0,0,0,0,839,1294
21,6,0,0,19,8,3,1,0,1,0,0,0,0,0,6,10,1,0,0,0,0,0,1236,1706
23,6,0,0,22,8,3,1,0,0,0,0,0,0,0,9,11,1,0,0,0,0,0,731,2111
25,6,0,0,20,9,4,1,1,0,0,0,0,0,0,11,12,0,0,1,0,0,0,891,11381
27,6,0,0,20,9,2,1,2,0,0,1,0,0,0,11,14,0,1,1,0,0,0,11631,12431
29,8,0,0,25,7,3,1,2,1,0,0,0,0,0,11,13,0,0,1,0,0,0,11608,102506
